260097528899452929	Won the match #getin . Plus, tomorrow is a very busy day, with Awareness Day's and debates. Gulp. Debates...	0
263791921753882624	Some areas of New England could see the first flakes of the season Tuesday.	0
260486470828171265	Tina Fey & Amy Poehler are hosting the Golden Globe awards on January 13. What do you think?	0
262968617233162240	Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://t.co/Dbbj8xLZ	1
263790847424880641	SNC Halloween Pr. Pumped. Let's work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween	1
264255236435243008	@jacquelinemegan I'm sorry, I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)	-1
264221473558917120	Manchester United will try to return to winning ways when they face Arsenal in the Premier League at Old Trafford on Saturday.	0
264091690632105984	Going to a bulls game with Aaliyah & hope next Thursday	0
263929564907069441	Any Toon Fans with a spare ticket for Anfield on Sunday?willing to pay extra #NUFC	0
263759328782204928	Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry  :)	1
259546192722161664	going to bed now...Rose parade then game tomorrow	0
264249030572392448	@_Nenaah oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :P	0
264255668180090880	#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U	1
264222689177264128	Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday, with investors waiting for... http://t.co/CiqFona1	-1
264163852365729793	.@NUMensSoccer: Another close-range IU shot goes high. Kyle Schickel checks in for Missimo. Kyle missed the Wisconsin game last Sunday.	0
251535900759175169	Shaw wouldn't let Luck throw late in the FIesta Bowl, but he's fine with Nunes throwing a fade route on 4th and 4 w/ 1:50 left.	0
264247453551833088	Monday before I leave Singapore, I am going to post something that might be offensive.	-1
264238968747487232	Here in the Philippines, Its November 2 and I was like where's my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial	1
264110966025908224	Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @TScheckelhoff!	1
264255443646443520	Man, bye. I gotta work all day and drive to Houston tomorrow.	0
